Endpoint,IP
"md-03.protonvpn.com","178.17.168.165"
"md-04.protonvpn.com","178.17.168.166"
"md-05.protonvpn.com","178.17.168.167"
"md-06.protonvpn.com","178.17.168.168"
"md-07.protonvpn.com","178.17.168.169"
"md-08.protonvpn.com","178.17.168.170"
"nl-01.protonvpn.com","62.112.9.165"
"nl-02.protonvpn.com","62.112.9.166"
"nl-03.protonvpn.com","62.112.9.167"
"nl-04.protonvpn.com","62.112.9.237"
"nl-05.protonvpn.com","77.247.178.182"
"nl-06.protonvpn.com","77.247.178.183"
"nl-07.protonvpn.com","77.247.178.185"
"nl-08.protonvpn.com","77.247.178.186"
"nl-09.protonvpn.com","89.39.107.208"
"nl-10.protonvpn.com","89.39.107.209"
"nl-101.protonvpn.com","217.23.3.91"
"nl-102.protonvpn.com","217.23.3.92"
"nl-103.protonvpn.com","217.23.3.96"
"nl-104.protonvpn.com","217.23.3.171"
"nl-105.protonvpn.com","89.39.107.202"
"nl-106.protonvpn.com","89.39.107.203"
"nl-107.protonvpn.com","89.39.107.204"
"nl-108.protonvpn.com","89.39.107.205"
"nl-109.protonvpn.com","89.39.107.198"
"nl-11.protonvpn.com","89.39.107.210"
"nl-110.protonvpn.com","89.39.107.199"
"nl-111.protonvpn.com","89.39.107.200"
"nl-112.protonvpn.com","89.39.107.201"
"nl-113.protonvpn.com","89.39.107.194"
"nl-114.protonvpn.com","89.39.107.195"
"nl-115.protonvpn.com","89.39.107.196"
"nl-116.protonvpn.com","89.39.107.197"
"nl-117.protonvpn.com","89.39.107.190"
"nl-118.protonvpn.com","89.39.107.191"
"nl-119.protonvpn.com","89.39.107.192"
"nl-12.protonvpn.com","89.39.107.211"
"nl-120.protonvpn.com","89.39.107.193"
"nl-125.protonvpn.com","109.201.133.22"
"nl-126.protonvpn.com","109.201.133.24"
"nl-127.protonvpn.com","109.201.133.26"
"nl-128.protonvpn.com","109.201.133.30"
"nl-129.protonvpn.com","46.166.142.214"
"nl-13.protonvpn.com","190.2.146.228"
"nl-130.protonvpn.com","46.166.142.215"
"nl-131.protonvpn.com","46.166.142.216"
"nl-132.protonvpn.com","46.166.142.217"
"nl-133.protonvpn.com","46.166.142.219"
"nl-134.protonvpn.com","46.166.142.220"
"nl-135.protonvpn.com","46.166.142.221"
"nl-136.protonvpn.com","46.166.142.222"
"nl-137.protonvpn.com","185.165.241.35"
"nl-138.protonvpn.com","185.165.241.36"
"nl-14.protonvpn.com","190.2.146.230"
"nl-140.protonvpn.com","185.165.241.38"
"nl-141.protonvpn.com","192.40.57.227"
"nl-142.protonvpn.com","192.40.57.228"
"nl-143.protonvpn.com","192.40.57.229"
"nl-144.protonvpn.com","192.40.57.230"
"nl-145.protonvpn.com","192.40.57.232"
"nl-146.protonvpn.com","192.40.57.233"
"nl-147.protonvpn.com","192.40.57.234"
"nl-148.protonvpn.com","192.40.57.235"
"nl-15.protonvpn.com","190.2.146.231"
"nl-16.protonvpn.com","190.2.146.232"
"nl-17.protonvpn.com","192.40.57.51"
"nl-18.protonvpn.com","192.40.57.52"
"nl-19.protonvpn.com","192.40.57.53"
"nl-20.protonvpn.com","192.40.57.54"
"nl-21.protonvpn.com","192.40.57.56"
"nl-22.protonvpn.com","192.40.57.57"
"nl-23.protonvpn.com","192.40.57.58"
"nl-24.protonvpn.com","192.40.57.59"
"nl-25.protonvpn.com","192.40.57.237"
"nl-26.protonvpn.com","192.40.57.238"
"nl-27.protonvpn.com","192.40.57.239"
"nl-28.protonvpn.com","192.40.57.240"
"no-01.protonvpn.com","95.174.66.59"
"no-02.protonvpn.com","95.174.66.60"
"no-03.protonvpn.com","95.174.66.61"
"no-04.protonvpn.com","95.174.66.62"
"no-05.protonvpn.com","37.120.203.83"
"no-06.protonvpn.com","37.120.203.84"
"no-07.protonvpn.com","37.120.203.85"
"no-08.protonvpn.com","37.120.203.86"
"no-09.protonvpn.com","37.120.203.87"
"no-10.protonvpn.com","37.120.203.88"
"no-11.protonvpn.com","37.120.203.89"
"no-12.protonvpn.com","37.120.203.90"
"nz-05.protonvpn.com","116.90.74.243"
"nz-06.protonvpn.com","116.90.74.244"
"nz-07.protonvpn.com","116.90.74.245"
"nz-08.protonvpn.com","116.90.74.246"
"nz-09.protonvpn.com","116.90.74.247"
"nz-10.protonvpn.com","116.90.74.248"
"nz-11.protonvpn.com","116.90.74.249"
"nz-12.protonvpn.com","116.90.74.250"
"pl-01.protonvpn.com","194.99.105.75"
"pl-02.protonvpn.com","194.99.105.76"
"pl-03.protonvpn.com","194.99.105.77"
"pl-04.protonvpn.com","194.99.105.78"
"pl-05.protonvpn.com","54.36.186.49"
"pl-06.protonvpn.com","54.36.186.50"
"pl-07.protonvpn.com","54.36.186.51"
"pl-08.protonvpn.com","54.36.186.52"
"pl-09.protonvpn.com","54.36.186.53"
"pl-10.protonvpn.com","54.36.186.54"
"pl-11.protonvpn.com","54.36.186.55"
"pl-12.protonvpn.com","54.36.186.56"
"pt-01.protonvpn.com","185.174.156.2"
"pt-02.protonvpn.com","185.174.156.3"
"pt-03.protonvpn.com","185.174.156.4"
"pt-04.protonvpn.com","185.174.156.5"
"ro-01.protonvpn.com","109.163.233.83"
"ro-02.protonvpn.com","109.163.233.84"
"ro-03.protonvpn.com","109.163.233.85"
"ro-04.protonvpn.com","109.163.233.86"
"ro-05.protonvpn.com","109.163.233.87"
"ro-06.protonvpn.com","109.163.233.88"
"ro-07.protonvpn.com","109.163.233.89"
"ro-08.protonvpn.com","109.163.233.90"
"rs-01.protonvpn.com","37.46.115.6"
"rs-02.protonvpn.com","37.46.115.7"
"rs-03.protonvpn.com","37.46.115.8"
"rs-04.protonvpn.com","37.46.115.9"
"rs-05.protonvpn.com","37.46.115.10"
