IP,ASN
185.14.29.145,21100
185.150.44.22,61171
185.16.43.234,199456
185.163.45.38,39798
185.165.168.168,200651
185.165.168.229,200651
185.165.168.77,200651
185.174.101.23,8100
185.175.208.179,25369
185.175.208.180,25369
185.186.143.55,204490
185.195.237.117,206804
185.195.237.118,206804
185.195.237.203,206804
185.195.237.25,206804
185.200.118.106,9009
185.205.210.245,44901
185.207.139.2,41665
185.213.155.172,39351
185.216.32.130,9009
185.22.172.205,43317
185.220.100.240,205100
185.220.100.241,205100
185.220.100.242,205100
185.220.100.243,205100
185.220.100.244,205100
185.220.100.245,205100
185.220.100.246,205100
185.220.100.247,205100
185.220.100.248,205100
185.220.100.249,205100
185.220.100.250,205100
185.220.100.251,205100
185.220.100.252,205100
185.220.100.253,205100
185.220.100.254,205100
185.220.100.255,205100
185.220.101.0,208294
185.220.101.1,208294
185.220.101.11,208294
185.220.101.12,208294
185.220.101.129,208294
185.220.101.13,208294
185.220.101.130,208294
185.220.101.131,208294
185.220.101.133,208294
185.220.101.134,208294
185.220.101.135,208294
185.220.101.136,208294
185.220.101.137,208294
185.220.101.138,208294
185.220.101.139,208294
185.220.101.14,208294
185.220.101.140,208294
185.220.101.141,208294
185.220.101.142,208294
185.220.101.144,208294
185.220.101.145,208294
185.220.101.146,208294
185.220.101.15,208294
185.220.101.17,208294
185.220.101.18,208294
185.220.101.19,208294
185.220.101.193,208294
185.220.101.195,208294
185.220.101.196,208294
185.220.101.199,208294
185.220.101.2,208294
185.220.101.20,208294
185.220.101.202,208294
185.220.101.21,208294
185.220.101.22,208294
185.220.101.23,208294
185.220.101.24,208294
185.220.101.25,208294
185.220.101.26,208294
185.220.101.27,208294
185.220.101.28,208294
185.220.101.29,208294
185.220.101.3,208294
185.220.101.30,208294
185.220.101.31,208294
185.220.101.32,208294
185.220.101.33,208294
185.220.101.34,208294
185.220.101.35,208294
185.220.101.37,208294
185.220.101.39,208294
185.220.101.4,208294
185.220.101.40,208294
185.220.101.41,208294
185.220.101.42,208294
185.220.101.43,208294
185.220.101.44,208294
185.220.101.45,208294
185.220.101.46,208294
185.220.101.47,208294
185.220.101.48,208294
185.220.101.49,208294
185.220.101.5,208294
185.220.101.50,208294
185.220.101.51,208294
185.220.101.56,208294
185.220.101.57,208294
185.220.101.58,208294
185.220.101.59,208294
185.220.101.6,208294
185.220.101.60,208294
185.220.101.61,208294
185.220.101.62,208294
185.220.101.63,208294
185.220.101.64,208294
185.220.101.65,208294
185.220.101.66,208294
185.220.101.67,208294
185.220.101.68,208294
185.220.101.69,208294
185.220.101.7,208294
185.220.101.70,208294
185.220.101.71,208294
185.220.101.72,208294
185.220.101.73,208294
185.220.101.74,208294
185.220.101.75,208294
185.220.101.76,208294
185.220.101.77,208294
185.220.101.79,208294
185.220.101.9,208294
185.220.102.4,60729
185.220.102.6,60729
185.220.102.7,60729
185.220.102.8,60729
185.220.103.4,4224
185.220.103.5,4224
185.220.103.6,4224
185.220.103.7,4224
185.220.103.8,4224
185.220.103.9,4224
185.222.202.104,204725
185.222.202.12,204725
185.222.202.133,204725
185.225.226.169,207560
185.225.69.52,30836
185.225.69.60,30836
185.226.65.49,205053
185.228.19.147,35913
185.233.100.23,198985
185.242.113.224,31400
185.242.180.101,60798
185.244.39.233,64425
185.248.160.21,43350
185.248.160.214,43350
185.248.160.231,43350
185.248.160.65,43350
185.29.8.145,60567
185.34.33.2,28855
185.35.202.222,50304
185.38.175.71,205235
185.4.132.183,199246
185.4.135.135,199246
185.42.170.203,62248
185.56.171.94,3242
185.59.103.24,200081
185.65.134.175,39351
185.65.205.10,59895
185.65.206.154,59895
185.67.82.114,20904
185.70.8.46,201536
185.72.244.24,47447
185.73.240.223,59741
185.82.219.109,59729
185.86.149.139,52173
186.214.1.48,18881
186.214.12.86,18881
186.214.2.60,18881
186.214.6.241,18881
186.214.73.141,10429
186.214.76.18,10429
186.214.76.31,10429
186.214.90.59,10429
186.214.91.117,10429
186.214.92.149,10429
186.29.96.233,19429
187.178.75.109,6503
187.20.34.84,28573
188.213.49.176,44220
188.214.104.146,5588
188.240.210.20,203523
189.84.21.44,28271
190.160.106.49,22047
190.162.197.147,22047
190.216.2.136,3549
190.45.6.55,22047
190.45.87.116,22047
190.97.167.144,27956
191.114.10.178,7418
191.114.10.96,7418
191.114.100.224,7418
191.114.101.125,7418
191.114.107.22,7418
191.114.108.191,7418
191.114.112.204,7418
191.114.115.56,7418
191.114.127.170,7418
191.114.15.138,7418
191.114.16.94,7418
191.114.18.31,7418
191.114.25.59,7418
191.114.29.143,7418
191.114.3.11,7418
191.114.30.171,7418
191.114.30.58,7418
191.114.33.160,7418
191.114.33.187,7418
191.114.38.119,7418
191.114.47.141,7418
191.114.49.35,7418
191.114.55.104,7418
191.114.58.97,7418
191.114.63.175,7418
191.114.65.221,7418
191.114.76.124,7418
191.114.79.212,7418
191.114.8.83,7418
191.114.86.21,7418
191.114.86.76,7418
191.114.87.207,7418
191.114.89.176,7418
191.114.9.124,7418
191.114.9.247,7418
191.114.90.10,7418
191.114.90.139,7418
191.114.95.246,7418
191.114.98.226,7418
191.114.99.40,7418
191.250.140.235,18881
191.250.246.242,10429
191.251.133.27,10429
191.251.135.71,10429
191.251.170.43,10429
191.251.191.173,10429
191.251.191.243,10429
191.32.200.74,10429
191.32.206.107,10429
191.34.119.16,10429
191.34.123.166,10429
191.34.124.19,10429
191.34.126.113,10429
191.34.127.105,10429
191.34.127.243,10429
191.34.192.33,10429
191.34.194.120,10429
191.34.195.114,10429
192.151.150.107,33387
192.151.150.108,33387
192.151.150.109,33387
192.151.150.110,33387
192.160.102.164,395089
192.160.102.165,395089
192.160.102.166,395089
192.160.102.168,395089
192.160.102.169,395089
192.160.102.170,395089
192.195.80.10,32329
192.227.215.192,36352
192.34.80.176,33083
192.42.116.13,1101
192.42.116.14,1101
192.42.116.15,1101
192.42.116.16,1101
192.42.116.17,1101
192.42.116.18,1101
192.42.116.19,1101
192.42.116.20,1101
192.42.116.22,1101
192.42.116.23,1101
192.42.116.24,1101
192.42.116.25,1101
192.42.116.26,1101
192.42.116.27,1101
192.42.116.28,1101
192.68.11.219,204911
192.81.223.177,14061
192.99.253.155,16276
193.110.157.151,3265
193.118.34.130,21859
193.124.186.222,35196
193.138.61.208,34779
193.169.145.194,38935
193.169.145.202,38935
193.169.145.66,38935
193.169.255.102,210273
193.180.164.136,197595
193.180.164.140,197595
193.180.164.162,197595
193.180.164.164,197595
193.180.164.196,197595
193.180.164.197,197595
193.180.164.227,197595
193.218.118.130,207656
193.218.118.131,207656
193.218.118.140,207656
193.218.118.150,207656
193.218.118.160,207656
193.218.118.30,207656
193.218.118.70,207656
193.218.118.90,207656
193.32.126.160,39351
193.36.119.17,206804
193.9.115.24,9009
194.187.249.41,9009
194.40.240.96,200313
195.123.212.75,50979
195.123.213.98,50979
195.123.217.153,21100
195.123.224.108,59729
195.123.225.112,59729
195.123.237.251,204957
195.123.246.77,204957
195.123.247.40,204957
195.154.106.148,12876
195.154.179.3,12876
195.176.3.19,559
195.176.3.20,559
195.176.3.23,559
195.176.3.24,559
195.206.105.217,9009
195.228.45.176,5483
195.231.9.23,202242
195.254.134.194,38935
195.254.135.76,38935
195.37.209.9,680
198.100.148.114,16276
198.12.66.114,36352
198.12.66.116,36352
198.251.80.172,53667
198.251.80.214,53667
198.251.83.193,53667
198.251.83.248,53667
198.251.89.157,53667
198.251.89.176,53667
198.251.89.80,53667
198.50.128.225,16276
198.50.128.237,16276
198.50.158.140,16276
198.50.236.123,16276
198.50.246.54,16276
198.50.246.57,16276
198.50.246.58,16276
198.50.246.59,16276
198.50.246.61,16276
198.50.246.62,16276
198.50.253.253,16276
198.50.253.42,16276
198.50.253.44,16276
198.50.253.45,16276
198.50.253.46,16276
198.58.107.53,63949
198.96.155.3,12093
198.98.50.112,53667
198.98.50.201,53667
198.98.53.61,53667
198.98.53.79,53667
198.98.55.119,53667
198.98.56.155,53667
198.98.58.135,53667
198.98.59.161,53667
198.98.59.251,53667
198.98.61.88,53667
198.98.62.107,53667
199.19.224.107,53667
199.19.224.52,53667
199.19.224.76,53667
199.19.224.84,53667
199.19.225.128,53667
199.19.225.190,53667
199.19.226.142,53667
199.19.226.179,53667
199.19.226.23,53667
199.19.226.92,53667
199.195.249.82,53667
199.195.250.77,53667
199.195.251.226,53667
199.195.251.84,53667
199.249.230.100,62744
199.249.230.101,62744
199.249.230.102,62744
199.249.230.103,62744
199.249.230.104,62744
199.249.230.105,62744
199.249.230.106,62744
199.249.230.107,62744
199.249.230.108,62744
199.249.230.109,62744
199.249.230.110,62744
199.249.230.111,62744
199.249.230.112,62744
199.249.230.113,62744
199.249.230.114,62744
199.249.230.115,62744
199.249.230.116,62744
199.249.230.117,62744
199.249.230.118,62744
199.249.230.119,62744
199.249.230.120,62744
199.249.230.121,62744
199.249.230.122,62744
199.249.230.123,62744
199.249.230.64,62744
199.249.230.65,62744
199.249.230.66,62744
199.249.230.67,62744
199.249.230.68,62744
199.249.230.69,62744
199.249.230.70,62744
199.249.230.71,62744
199.249.230.72,62744
199.249.230.73,62744
199.249.230.74,62744
199.249.230.75,62744
199.249.230.76,62744
199.249.230.77,62744
199.249.230.78,62744
199.249.230.79,62744
199.249.230.80,62744
199.249.230.81,62744
199.249.230.82,62744
199.249.230.83,62744
199.249.230.84,62744
199.249.230.85,62744
199.249.230.86,62744
199.249.230.87,62744
199.249.230.88,62744
199.249.230.89,62744
199.87.154.255,18451
2.7.79.205,3215
200.28.162.34,7418
200.52.59.215,6503
200.56.44.184,6503
200.56.45.134,6503
200.98.137.240,7162
200.98.161.148,7162
201.214.186.88,22047
201.22.96.158,10429
201.80.164.203,28573
201.80.45.203,28573
202.165.228.161,9260
202.165.228.225,9260
204.11.50.131,30176
204.27.60.147,19969
204.8.156.142,111
204.85.191.8,36850
204.85.191.9,36850
205.185.113.116,53667
205.185.113.117,53667
205.185.113.189,53667
205.185.113.198,53667
205.185.113.30,53667
205.185.113.90,53667
205.185.114.238,53667
205.185.114.250,53667
205.185.115.162,53667
205.185.115.175,53667
205.185.115.203,53667
205.185.115.207,53667
205.185.115.21,53667
205.185.115.245,53667
205.185.115.70,53667
205.185.116.152,53667
205.185.116.180,53667
205.185.116.60,53667
205.185.117.149,53667
205.185.117.253,53667
205.185.117.32,53667
205.185.117.47,53667
205.185.118.153,53667
205.185.118.189,53667
205.185.118.220,53667
205.185.119.124,53667
205.185.119.198,53667
205.185.119.85,53667
205.185.120.131,53667
205.185.120.81,53667
205.185.121.115,53667
205.185.121.212,53667
205.185.121.241,53667
205.185.122.208,53667
205.185.122.38,53667
205.185.122.84,53667
205.185.123.166,53667
205.185.123.214,53667
205.185.123.239,53667
205.185.123.242,53667
205.185.123.246,53667
205.185.124.100,53667
205.185.124.152,53667
205.185.124.215,53667
205.185.124.223,53667
205.185.124.24,53667
205.185.124.61,53667
205.185.124.65,53667
205.185.125.165,53667
205.185.125.82,53667
205.185.126.11,53667
205.185.126.15,53667
205.185.126.214,53667
205.185.126.56,53667
205.185.126.60,53667
205.185.126.78,53667
205.185.127.163,53667
205.185.127.219,53667
206.248.184.127,5645
206.55.74.0,14536
207.244.70.35,30633
208.68.4.129,397444
209.141.33.192,53667
209.141.33.74,53667
209.141.34.248,53667
209.141.34.65,53667
209.141.34.95,53667
209.141.35.110,53667
209.141.35.114,53667
209.141.35.14,53667
209.141.35.234,53667
209.141.37.219,53667
209.141.37.34,53667
209.141.37.53,53667
209.141.38.43,53667
209.141.39.33,53667
209.141.39.98,53667
209.141.40.167,53667
209.141.40.185,53667
209.141.40.201,53667
209.141.41.103,53667
209.141.41.158,53667
209.141.41.174,53667
209.141.41.216,53667
209.141.41.42,53667
209.141.41.78,53667
209.141.42.120,53667
209.141.42.217,53667
209.141.42.231,53667
209.141.42.3,53667
209.141.43.180,53667
209.141.43.35,53667
209.141.45.145,53667
209.141.45.158,53667
209.141.45.189,53667
209.141.45.212,53667
209.141.45.68,53667
209.141.45.89,53667
209.141.46.219,53667
209.141.46.76,53667
209.141.46.8,53667
209.141.47.133,53667
209.141.47.17,53667
209.141.47.240,53667
209.141.47.3,53667
209.141.47.54,53667
209.141.47.99,53667
209.141.48.144,53667
209.141.48.150,53667
209.141.48.43,53667
209.141.49.135,53667
209.141.49.150,53667
209.141.49.164,53667
209.141.49.204,53667
209.141.50.123,53667
209.141.50.178,53667
209.141.50.42,53667
209.141.50.59,53667
209.141.50.84,53667
209.141.51.21,53667
209.141.51.65,53667
209.141.52.137,53667
209.141.52.146,53667
209.141.52.171,53667
209.141.52.203,53667
209.141.54.27,53667
209.141.55.13,53667
209.141.55.233,53667
209.141.55.51,53667
209.141.55.74,53667
209.141.56.122,53667
209.141.56.231,53667
209.141.56.40,53667
209.141.57.10,53667
209.141.57.142,53667
209.141.57.219,53667
209.141.57.4,53667
209.141.57.62,53667
209.141.58.114,53667
209.141.58.170,53667
209.141.58.233,53667
209.141.58.248,53667
209.141.58.95,53667
209.141.59.189,53667
209.141.59.63,53667
209.141.59.77,53667
209.141.60.236,53667
209.141.60.244,53667
209.141.60.92,53667
209.141.61.152,53667
209.141.61.36,53667
209.141.62.152,53667
209.141.62.188,53667
209.141.62.246,53667
209.141.62.80,53667
209.141.62.84,53667
209.58.132.142,7203
209.58.145.203,394380
209.95.51.11,32780
210.140.10.35,4694
212.16.104.33,12659
212.199.61.5,9116
212.21.66.6,44716
212.47.229.4,12876
212.83.166.62,12876
213.108.105.71,47172
213.139.206.28,136175
213.152.162.10,49453
213.160.32.233,21232
213.179.54.190,16186
213.252.140.118,9066
213.61.215.54,8220
213.95.149.22,12337
216.186.250.53,12083
216.218.134.12,6939
216.239.90.19,10996
217.100.113.174,33915
217.112.131.7,30836
217.12.221.131,15626
217.12.221.196,15626
217.12.223.225,15626
217.12.223.227,15626
217.170.197.70,34989
217.170.197.83,34989
217.170.197.89,34989
217.170.204.126,34989
217.170.205.107,34989
217.170.205.14,34989
217.170.206.138,34989
217.170.206.146,34989
217.79.178.53,24961
23.105.169.32,30633
23.105.41.99,395954
23.106.47.192,7203
23.129.64.150,396507
23.129.64.151,396507
23.129.64.152,396507
23.129.64.153,396507
23.129.64.154,396507
23.129.64.155,396507
23.129.64.156,396507
23.129.64.157,396507
23.129.64.158,396507
23.129.64.159,396507
23.129.64.180,396507
23.129.64.181,396507
23.129.64.182,396507
23.129.64.183,396507
23.129.64.184,396507
23.129.64.185,396507
23.129.64.186,396507
23.129.64.187,396507
23.129.64.188,396507
23.129.64.189,396507
23.129.64.190,396507
23.129.64.191,396507
23.129.64.192,396507
23.129.64.193,396507
23.129.64.194,396507
23.129.64.200,396507
23.129.64.201,396507
23.129.64.202,396507
23.129.64.203,396507
23.129.64.204,396507
23.129.64.205,396507
23.129.64.206,396507
23.129.64.207,396507
23.129.64.208,396507
23.129.64.209,396507
23.129.64.210,396507
23.129.64.211,396507
23.129.64.212,396507
23.129.64.213,396507
23.129.64.214,396507
23.129.64.220,396507
23.129.64.221,396507
23.129.64.222,396507
23.129.64.223,396507
23.129.64.224,396507
23.129.64.225,396507
23.129.64.226,396507
23.129.64.227,396507
23.129.64.229,396507
23.129.64.230,396507
23.129.64.231,396507
23.129.64.232,396507
23.129.64.233,396507
23.129.64.234,396507
23.239.22.248,63949
23.82.136.101,393886
27.111.84.39,135132
27.122.59.100,63916
27.122.59.86,63916
31.13.195.121,34224
31.13.195.130,34224
31.13.195.39,34224
31.185.104.19,43847
31.185.104.20,43847
31.185.104.21,43847
31.220.4.122,63473
31.220.4.133,63473
31.31.72.24,197019
35.0.127.52,36375
35.178.59.186,16509
36.227.162.7,3462
36.227.165.146,3462
36.227.168.161,3462
36.227.169.170,3462
36.227.173.129,3462
37.1.206.154,50673
37.1.220.161,50673
37.139.8.104,14061
37.228.129.2,200651
37.252.5.231,34702
37.28.154.68,197155
37.48.120.196,60781
38.39.233.117,138576
38.68.37.77,396073
38.86.43.91,174
41.215.241.146,33785
41.215.242.42,33785
41.77.136.114,33785
41.77.137.114,33785
43.251.159.144,134520
45.114.130.4,45382
45.119.203.170,63930
45.119.203.171,63930
45.125.65.112,133398
45.125.65.118,133398
45.125.65.45,133398
45.128.133.242,206804
45.137.184.71,59760
45.14.148.96,44220
45.14.148.97,44220
45.14.148.98,44220
45.14.49.155,208951
45.140.170.187,49392
45.141.157.226,209696
45.142.212.109,200019
45.142.213.64,202933
45.154.255.44,41281
45.20.152.171,7018
45.56.103.80,63949
45.64.186.102,58955
45.66.35.35,47482
45.67.14.0,207616
45.76.115.159,20473
45.79.73.22,63949
45.79.85.85,63949
45.81.233.53,44066
45.90.58.85,204957
46.165.230.5,28753
46.165.245.154,28753
46.166.129.156,43350
46.166.139.111,43350
46.166.160.70,16125
46.167.244.56,6830
46.167.244.59,6830
46.182.106.190,58073
46.194.1.129,2119
46.194.129.46,2119
46.194.134.151,2119
46.194.148.59,2119
46.194.15.7,2119
46.194.150.191,2119
46.194.151.66,2119
46.194.158.48,2119
46.194.169.160,2119
46.194.17.6,2119
46.194.176.35,2119
46.194.31.58,2119
46.194.39.106,2119
46.194.41.244,2119
